PK_Tasa,PK_Fecha,PK_Localidad,FK_Mortalidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres,Muertes_Totales,Muertes_Totales_Hombres,Muertes_Totales_Mujeres,Tasa_Mortalidad_Total,Tasa_Mortalidad_Hombres,Tasa_Mortalidad_Mujeres,Tasa_Total_100k,Tasa_Hombres_100k,Tasa_Mujeres_100k
252,202208,4,252,252491.0,123378.0,129113.0,4,4,0,1.5842148829067175e-05,3.2420690884922756e-05,0.0,1.5842148829067175,3.2420690884922756,0.0
253,202208,5,253,401520.0,194001.0,207519.0,10,6,4,2.4905359633393106e-05,3.0927675630537984e-05,1.9275343462526324e-05,2.4905359633393105,3.0927675630537985,1.9275343462526324
254,202208,6,254,1239208.0,588067.0,651141.0,25,17,8,2.0174175763874992e-05,2.8908270656234748e-05,1.2286125432126068e-05,2.017417576387499,2.890827065623475,1.2286125432126067
255,202208,7,255,572346.0,264113.0,308233.0,9,6,3,1.5724753907601346e-05,2.2717548927921004e-05,9.732896866980499e-06,1.5724753907601345,2.2717548927921003,0.9732896866980499
256,202208,8,256,392872.0,192020.0,200852.0,11,5,6,2.7998941130953594e-05,2.603895427559629e-05,2.987274211857487e-05,2.7998941130953594,2.603895427559629,2.987274211857487
257,202209,1,257,659992.0,324114.0,335878.0,16,7,9,2.4242718093552648e-05,2.1597339207809597e-05,2.679544358368217e-05,2.4242718093552647,2.1597339207809596,2.679544358368217
258,202209,2,258,390261.0,184113.0,206148.0,5,2,3,1.2811938676936716e-05,1.0862893983586168e-05,1.4552651493102043e-05,1.2811938676936716,1.0862893983586168,1.4552651493102042
259,202209,3,259,1069465.0,513826.0,555639.0,30,18,12,2.80514088820111e-05,3.503131410243935e-05,2.1596756167223683e-05,2.80514088820111,3.5031314102439346,2.1596756167223683
260,202209,4,260,252491.0,123378.0,129113.0,6,3,3,2.3763223243600763e-05,2.431551816369207e-05,2.3235460410648036e-05,2.376322324360076,2.4315518163692067,2.3235460410648034
261,202209,5,261,401520.0,194001.0,207519.0,9,7,2,2.2414823670053796e-05,3.608228823562765e-05,9.637671731263162e-06,2.2414823670053794,3.608228823562765,0.9637671731263162
262,202209,6,262,1239208.0,588067.0,651141.0,21,15,6,1.6946307641654993e-05,2.550729763785419e-05,9.214594074094551e-06,1.6946307641654992,2.550729763785419,0.9214594074094551
263,202209,7,263,572346.0,264113.0,308233.0,8,6,2,1.3977559028978975e-05,2.2717548927921004e-05,6.488597911320332e-06,1.3977559028978974,2.2717548927921003,0.6488597911320332
264,202209,8,264,392872.0,192020.0,200852.0,12,9,3,3.054429941558574e-05,4.687011769607332e-05,1.4936371059287435e-05,3.054429941558574,4.687011769607333,1.4936371059287434
265,202210,1,265,659992.0,324114.0,335878.0,17,10,7,2.575788797439969e-05,3.085334172544228e-05,2.0840900565086134e-05,2.575788797439969,3.085334172544228,2.0840900565086136
266,202210,2,266,390261.0,184113.0,206148.0,13,10,3,3.331104056003547e-05,5.4314469917930837e-05,1.4552651493102043e-05,3.3311040560035465,5.431446991793083,1.4552651493102042
267,202210,3,267,1069465.0,513826.0,555639.0,29,17,12,2.7116361919277397e-05,3.308512998563716e-05,2.1596756167223683e-05,2.71163619192774,3.308512998563716,2.1596756167223683
268,202210,4,268,252491.0,123378.0,129113.0,5,4,1,1.9802686036333967e-05,3.2420690884922756e-05,7.745153470216012e-06,1.9802686036333967,3.2420690884922756,0.7745153470216012
269,202210,5,269,401520.0,194001.0,207519.0,17,13,4,4.233911137676828e-05,6.700996386616564e-05,1.9275343462526324e-05,4.233911137676828,6.7009963866165645,1.9275343462526324
270,202210,6,270,1239208.0,588067.0,651141.0,24,13,11,1.9367208733319992e-05,2.210632461947363e-05,1.6893422469173342e-05,1.9367208733319992,2.210632461947363,1.6893422469173343
271,202210,7,271,572346.0,264113.0,308233.0,12,7,5,2.0966338543468462e-05,2.6503807082574505e-05,1.6221494778300832e-05,2.0966338543468463,2.6503807082574506,1.6221494778300831
272,202210,8,272,392872.0,192020.0,200852.0,7,4,3,1.7817507992425013e-05,2.0831163420477035e-05,1.4936371059287435e-05,1.7817507992425012,2.0831163420477035,1.4936371059287434
273,202211,1,273,659992.0,324114.0,335878.0,20,7,13,3.030339761694081e-05,2.1597339207809597e-05,3.8704529620874244e-05,3.0303397616940813,2.1597339207809596,3.870452962087424
274,202211,2,274,390261.0,184113.0,206148.0,6,4,2,1.537432641232406e-05,2.1725787967172335e-05,9.701767662068028e-06,1.537432641232406,2.1725787967172336,0.9701767662068028
275,202211,3,275,1069465.0,513826.0,555639.0,35,24,11,3.2726643695679615e-05,4.670841880325246e-05,1.979702648662171e-05,3.2726643695679614,4.670841880325246,1.979702648662171
276,202211,4,276,252491.0,123378.0,129113.0,8,4,4,3.168429765813435e-05,3.2420690884922756e-05,3.098061388086405e-05,3.168429765813435,3.2420690884922756,3.0980613880864047
277,202211,5,277,401520.0,194001.0,207519.0,8,6,2,1.9924287706714485e-05,3.0927675630537984e-05,9.637671731263162e-06,1.9924287706714485,3.0927675630537985,0.9637671731263162
278,202211,6,278,1239208.0,588067.0,651141.0,22,16,6,1.7753274672209993e-05,2.720778414704447e-05,9.214594074094551e-06,1.7753274672209993,2.720778414704447,0.9214594074094551
279,202211,7,279,572346.0,264113.0,308233.0,9,6,3,1.5724753907601346e-05,2.2717548927921004e-05,9.732896866980499e-06,1.5724753907601345,2.2717548927921003,0.9732896866980499
