PK_LocalidadFecha,PK_Fecha,PK_Localidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres
466,202411,2,391900,184658,207242
467,202411,3,1078895,518347,560548
468,202411,4,252262,123272,128990
469,202411,5,401769,193852,207917
470,202411,6,1246636,593684,652952
471,202411,7,574260,265343,308917
472,202411,8,400313,195564,204749
473,202412,1,674259,331241,343018
474,202412,2,391900,184658,207242
475,202412,3,1078895,518347,560548
476,202412,4,252262,123272,128990
477,202412,5,401769,193852,207917
478,202412,6,1246636,593684,652952
479,202412,7,574260,265343,308917
480,202412,8,400313,195564,204749
481,202501,1,680206,334237,345969
482,202501,2,391475,184296,207179
483,202501,3,1080598,519159,561439
484,202501,4,251711,123034,128677
485,202501,5,401414,193558,207856
486,202501,6,1246637,594568,652069
487,202501,7,572925,264844,308081
488,202501,8,403137,196893,206244
489,202502,1,680206,334237,345969
490,202502,2,391475,184296,207179
491,202502,3,1080598,519159,561439
492,202502,4,251711,123034,128677
493,202502,5,401414,193558,207856
494,202502,6,1246637,594568,652069
495,202502,7,572925,264844,308081
496,202502,8,403137,196893,206244
