"Estacion","Fecha inicial","Fecha final","CO"
"""USME""","2025-07-21 00:00","2025-07-21 00:59","194.633"
"""USME""","2025-07-20 23:00","2025-07-20 23:59","309.123"
"""USME""","2025-07-20 22:00","2025-07-20 22:59","332.021"
"""USME""","2025-07-20 21:00","2025-07-20 21:59","595.348"
"""USME""","2025-07-20 20:00","2025-07-20 20:59","812.879"
"""USME""","2025-07-20 19:00","2025-07-20 19:59","503.756"
"""USME""","2025-07-20 18:00","2025-07-20 18:59","297.674"
"""USME""","2025-07-20 17:00","2025-07-20 17:59","664.042"
"""USME""","2025-07-20 16:00","2025-07-20 16:59","664.042"
"""USME""","2025-07-20 15:00","2025-07-20 15:59","171.735"
"""USME""","2025-07-20 14:00","2025-07-20 14:59","332.021"
"""USME""","2025-07-20 13:00","2025-07-20 13:59","435.062"
"""USME""","2025-07-20 12:00","2025-07-20 12:59","423.613"
"""USME""","2025-07-20 11:00","2025-07-20 11:59","251.878"
"""USME""","2025-07-20 10:00","2025-07-20 10:59","320.572"
"""USME""","2025-07-20 09:00","2025-07-20 09:59","297.674"
"""USME""","2025-07-20 08:00","2025-07-20 08:59","320.572"
"""USME""","2025-07-20 07:00","2025-07-20 07:59","354.919"
"""USME""","2025-07-20 06:00","2025-07-20 06:59","354.919"
"""USME""","2025-07-20 05:00","2025-07-20 05:59","309.123"
"""USME""","2025-07-20 04:00","2025-07-20 04:59","263.327"
"""USME""","2025-07-20 03:00","2025-07-20 03:59","240.429"
"""USME""","2025-07-20 02:00","2025-07-20 02:59","228.98"
"""USME""","2025-07-20 01:00","2025-07-20 01:59","228.98"
"""USME""","2025-07-20 00:00","2025-07-20 00:59","228.98"
"""USME""","2025-07-19 23:00","2025-07-19 23:59","423.613"
"""USME""","2025-07-19 22:00","2025-07-19 22:59","480.858"
"""USME""","2025-07-19 21:00","2025-07-19 21:59","778.532"
"""USME""","2025-07-19 20:00","2025-07-19 20:59","1087.655"
"""USME""","2025-07-19 19:00","2025-07-19 19:59","870.124"
"""USME""","2025-07-19 18:00","2025-07-19 18:59","561.001"
"""USME""","2025-07-19 17:00","2025-07-19 17:59","492.307"
"""USME""","2025-07-19 16:00","2025-07-19 16:59","457.96"
"""USME""","2025-07-19 15:00","2025-07-19 15:59","343.47"
"""USME""","2025-07-19 14:00","2025-07-19 14:59","320.572"
"""USME""","2025-07-19 13:00","2025-07-19 13:59","309.123"
"""USME""","2025-07-19 12:00","2025-07-19 12:59","377.817"
"""USME""","2025-07-19 11:00","2025-07-19 11:59","412.164"
"""USME""","2025-07-19 10:00","2025-07-19 10:59","400.715"
"""USME""","2025-07-19 09:00","2025-07-19 09:59","480.858"
"""USME""","2025-07-19 08:00","2025-07-19 08:59","435.062"
"""USME""","2025-07-19 07:00","2025-07-19 07:59","423.613"
"""USME""","2025-07-19 06:00","2025-07-19 06:59","400.715"
"""USME""","2025-07-19 05:00","2025-07-19 05:59","629.695"
"""USME""","2025-07-19 04:00","2025-07-19 04:59","469.409"
"""USME""","2025-07-19 03:00","2025-07-19 03:59","228.98"
"""USME""","2025-07-19 02:00","2025-07-19 02:59","228.98"
"""USME""","2025-07-19 01:00","2025-07-19 01:59","240.429"
"""USME""","2025-07-19 00:00","2025-07-19 00:59","228.98"
"""USME""","2025-07-18 23:00","2025-07-18 23:59","286.225"
"""USME""","2025-07-18 22:00","2025-07-18 22:59","446.511"
"""USME""","2025-07-18 21:00","2025-07-18 21:59","629.695"
"""USME""","2025-07-18 20:00","2025-07-18 20:59","549.552"
"""USME""","2025-07-18 19:00","2025-07-18 19:59","400.715"
"""USME""","2025-07-18 18:00","2025-07-18 18:59","366.368"
"""USME""","2025-07-18 17:00","2025-07-18 17:59","354.919"
"""USME""","2025-07-18 16:00","2025-07-18 16:59","343.47"
"""USME""","2025-07-18 15:00","2025-07-18 15:59","354.919"
"""USME""","2025-07-18 14:00","2025-07-18 14:59","297.674"
"""USME""","2025-07-18 13:00","2025-07-18 13:59","240.429"
"""USME""","2025-07-18 12:00","2025-07-18 12:59","228.98"
"""USME""","2025-07-18 11:00","2025-07-18 11:59","206.082"
"""USME""","2025-07-18 10:00","2025-07-18 10:59","240.429"
"""USME""","2025-07-18 09:00","2025-07-18 09:59","217.531"
"""USME""","2025-07-18 08:00","2025-07-18 08:59","343.47"
